timestamp,price
2025-01-01T00:00:00Z,87.12
2025-01-01T01:00:00Z,91.43
2025-01-01T02:00:00Z,78.50
2025-01-01T03:00:00Z,65.20
2025-01-01T04:00:00Z,62.10
2025-01-01T05:00:00Z,68.00
2025-01-01T06:00:00Z,75.30
2025-01-01T07:00:00Z,95.00
2025-01-01T08:00:00Z,110.20
2025-01-01T09:00:00Z,105.50
2025-01-01T10:00:00Z,98.00
2025-01-01T11:00:00Z,102.40
2025-01-01T12:00:00Z,108.00
2025-01-01T13:00:00Z,112.00
2025-01-01T14:00:00Z,115.50
2025-01-01T15:00:00Z,118.00
2025-01-01T16:00:00Z,120.00
2025-01-01T17:00:00Z,125.00
2025-01-01T18:00:00Z,118.50
2025-01-01T19:00:00Z,105.00
2025-01-01T20:00:00Z,95.00
2025-01-01T21:00:00Z,88.00
2025-01-01T22:00:00Z,82.00
2025-01-01T23:00:00Z,80.50
